Time,ParameterName,ParameterValue
2022-12-01T00:00:00Z,TA_PT1H_AVG,-2.4
2022-12-01T00:00:00Z,TA_PT1H_MAX,-2.3
2022-12-01T00:00:00Z,TA_PT1H_MIN,-2.4
2022-12-01T00:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T00:00:00Z,WS_PT1H_AVG,0.7
2022-12-01T00:00:00Z,WS_PT1H_MAX,1.1
2022-12-01T00:00:00Z,WS_PT1H_MIN,0.3
2022-12-01T00:00:00Z,WD_PT1H_AVG,158.0
2022-12-01T00:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T00:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T00:00:00Z,PA_PT1H_AVG,1038.5
2022-12-01T00:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T01:00:00Z,TA_PT1H_AVG,-2.4
2022-12-01T01:00:00Z,TA_PT1H_MAX,-2.3
2022-12-01T01:00:00Z,TA_PT1H_MIN,-2.4
2022-12-01T01:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T01:00:00Z,WS_PT1H_AVG,0.7
2022-12-01T01:00:00Z,WS_PT1H_MAX,1.0
2022-12-01T01:00:00Z,WS_PT1H_MIN,0.3
2022-12-01T01:00:00Z,WD_PT1H_AVG,140.0
2022-12-01T01:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T01:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T01:00:00Z,PA_PT1H_AVG,1038.6
2022-12-01T01:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T02:00:00Z,TA_PT1H_AVG,-2.3
2022-12-01T02:00:00Z,TA_PT1H_MAX,-2.2
2022-12-01T02:00:00Z,TA_PT1H_MIN,-2.4
2022-12-01T02:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T02:00:00Z,WS_PT1H_AVG,NaN
2022-12-01T02:00:00Z,WS_PT1H_MAX,NaN
2022-12-01T02:00:00Z,WS_PT1H_MIN,NaN
2022-12-01T02:00:00Z,WD_PT1H_AVG,165.0
2022-12-01T02:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T02:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T02:00:00Z,PA_PT1H_AVG,1038.7
2022-12-01T02:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T03:00:00Z,TA_PT1H_AVG,-2.4
2022-12-01T03:00:00Z,TA_PT1H_MAX,-2.2
2022-12-01T03:00:00Z,TA_PT1H_MIN,-2.5
2022-12-01T03:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T03:00:00Z,WS_PT1H_AVG,0.7
2022-12-01T03:00:00Z,WS_PT1H_MAX,1.0
2022-12-01T03:00:00Z,WS_PT1H_MIN,0.3
2022-12-01T03:00:00Z,WD_PT1H_AVG,12.0
2022-12-01T03:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T03:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T03:00:00Z,PA_PT1H_AVG,1038.6
2022-12-01T03:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T04:00:00Z,TA_PT1H_AVG,-2.2
2022-12-01T04:00:00Z,TA_PT1H_MAX,-2.1
2022-12-01T04:00:00Z,TA_PT1H_MIN,-2.3
2022-12-01T04:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T04:00:00Z,WS_PT1H_AVG,0.3
2022-12-01T04:00:00Z,WS_PT1H_MAX,1.0
2022-12-01T04:00:00Z,WS_PT1H_MIN,0.1
2022-12-01T04:00:00Z,WD_PT1H_AVG,43.0
2022-12-01T04:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T04:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T04:00:00Z,PA_PT1H_AVG,1038.7
2022-12-01T04:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T05:00:00Z,TA_PT1H_AVG,-2.4
2022-12-01T05:00:00Z,TA_PT1H_MAX,-2.3
2022-12-01T05:00:00Z,TA_PT1H_MIN,-2.5
2022-12-01T05:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T05:00:00Z,WS_PT1H_AVG,0.3
2022-12-01T05:00:00Z,WS_PT1H_MAX,0.6
2022-12-01T05:00:00Z,WS_PT1H_MIN,0.1
2022-12-01T05:00:00Z,WD_PT1H_AVG,121.0
2022-12-01T05:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T05:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T05:00:00Z,PA_PT1H_AVG,1038.7
2022-12-01T05:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T06:00:00Z,TA_PT1H_AVG,-2.3
2022-12-01T06:00:00Z,TA_PT1H_MAX,-2.2
2022-12-01T06:00:00Z,TA_PT1H_MIN,-2.4
2022-12-01T06:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T06:00:00Z,WS_PT1H_AVG,0.4
2022-12-01T06:00:00Z,WS_PT1H_MAX,0.9
2022-12-01T06:00:00Z,WS_PT1H_MIN,0.2
2022-12-01T06:00:00Z,WD_PT1H_AVG,317.0
2022-12-01T06:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T06:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T06:00:00Z,PA_PT1H_AVG,1039.0
2022-12-01T06:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T07:00:00Z,TA_PT1H_AVG,-2.3
2022-12-01T07:00:00Z,TA_PT1H_MAX,-2.2
2022-12-01T07:00:00Z,TA_PT1H_MIN,-2.4
2022-12-01T07:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T07:00:00Z,WS_PT1H_AVG,0.9
2022-12-01T07:00:00Z,WS_PT1H_MAX,1.4
2022-12-01T07:00:00Z,WS_PT1H_MIN,0.3
2022-12-01T07:00:00Z,WD_PT1H_AVG,354.0
2022-12-01T07:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T07:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T07:00:00Z,PA_PT1H_AVG,1039.4
2022-12-01T07:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T08:00:00Z,TA_PT1H_AVG,-2.2
2022-12-01T08:00:00Z,TA_PT1H_MAX,-2.1
2022-12-01T08:00:00Z,TA_PT1H_MIN,-2.2
2022-12-01T08:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T08:00:00Z,WS_PT1H_AVG,NaN
2022-12-01T08:00:00Z,WS_PT1H_MAX,NaN
2022-12-01T08:00:00Z,WS_PT1H_MIN,NaN
2022-12-01T08:00:00Z,WD_PT1H_AVG,8.0
2022-12-01T08:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T08:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T08:00:00Z,PA_PT1H_AVG,1039.7
2022-12-01T08:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T09:00:00Z,TA_PT1H_AVG,-2.2
2022-12-01T09:00:00Z,TA_PT1H_MAX,-2.0
2022-12-01T09:00:00Z,TA_PT1H_MIN,-2.2
2022-12-01T09:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T09:00:00Z,WS_PT1H_AVG,0.8
2022-12-01T09:00:00Z,WS_PT1H_MAX,1.0
2022-12-01T09:00:00Z,WS_PT1H_MIN,0.5
2022-12-01T09:00:00Z,WD_PT1H_AVG,324.0
2022-12-01T09:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T09:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T09:00:00Z,PA_PT1H_AVG,1039.9
2022-12-01T09:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T10:00:00Z,TA_PT1H_AVG,-2.2
